scenario,method,TPR_mean,TPR_sd,TNR_mean,TNR_sd,FDR_mean,FDR_sd,F1_mean,F1_sd,MCC_mean,MCC_sd,alpha_bias_mean,alpha_bias_sd,fp_bias_mean,fp_bias_sd,MSE_theta_mean,MSE_theta_sd,exact_match_mean,exact_match_sd,n_reps
S01_base,enet,0.998333333,0.019669389,0.688909091,0.148009309,0.661279928,0.115706633,0.495226714,0.120262385,0.480767614,0.12866377,0.242872639,0.058419735,0.006619188,0.005274576,0.013846353,0.00413122,0,0,500
S01_base,lasso,0.997333333,0.023442345,0.734818182,0.137493377,0.620126747,0.13274725,0.537202807,0.128923967,0.524856529,0.134022334,0.218742107,0.05554331,0.005649892,0.004702,0.012217509,0.003828281,0.002,0.04472136,500
S01_base,mcp,0.997666667,0.019601349,0.972727273,0.04302103,0.129637999,0.154156909,0.921472427,0.099615205,0.916318634,0.104005645,0.119436684,0.044740581,0.000877274,0.002196317,0.041952915,0.011181997,0.48,0.50010019,500
S01_base,mcp_pool,0.997333333,0.02093346,0.966909091,0.048367578,0.152764054,0.163336057,0.906580561,0.107018461,0.900743808,0.111184982,0.11910801,0.045180838,0.001066738,0.002558696,0.007520836,0.002795031,0.418,0.493724141,500
S01_base,scad,0.998333333,0.016599732,0.928181818,0.06256218,0.293698299,0.183875952,0.813390034,0.129263702,0.804698103,0.131840786,0.118761663,0.04488474,0.001336291,0.00202717,0.042135278,0.011300061,0.152,0.359380451,500
S01_base,scad_pool,0.997666667,0.019601349,0.923545455,0.06188471,0.310390047,0.179381933,0.801919011,0.127659441,0.792844571,0.12971507,0.118629046,0.045440841,0.001360893,0.001670392,0.007498818,0.002819163,0.116,0.320545627,500
S02_indep,enet,0.999666667,0.00745356,0.900090909,0.108494491,0.329124253,0.225686727,0.77980171,0.17323595,0.771236583,0.17613524,0.236663082,0.048007161,0.001684297,0.00232839,0.013378447,0.003785501,0.166,0.372453276,500
S02_indep,lasso,1,0,0.894409091,0.110567703,0.33992325,0.231420323,0.770703098,0.178049779,0.762310144,0.180754438,0.201911437,0.048789934,0.001939946,0.002597829,0.011219554,0.003438162,0.168,0.374240714,500
S02_indep,mcp,0.999333333,0.010530358,0.980545455,0.036252335,0.092791637,0.143650346,0.944201839,0.091563429,0.940643392,0.095556813,0.118431986,0.040239681,0.000609342,0.001304241,0.041030447,0.010092444,0.626,0.484348208,500
S02_indep,mcp_pool,0.999333333,0.010530358,0.975636364,0.037841835,0.117336896,0.150627801,0.929683108,0.095915229,0.925182562,0.099895258,0.117641057,0.04034716,0.000693292,0.001322312,0.007373573,0.002676384,0.522,0.500016032,500
S02_indep,scad,1,0,0.940863636,0.063258171,0.243912345,0.192916604,0.846554047,0.133685325,0.83915099,0.136710922,0.118041005,0.04015788,0.001080593,0.00146086,0.04152589,0.010054052,0.254,0.435733551,500
S02_indep,scad_pool,1,0,0.9365,0.061583145,0.262590117,0.188254519,0.834724017,0.131605786,0.826836513,0.134087583,0.117534031,0.04010977,0.001125286,0.001376095,0.007366707,0.002671023,0.196,0.397366078,500
S03_highcor,enet,0.968,0.104339169,0.538409091,0.179846035,0.754435337,0.087376252,0.379307631,0.081406626,0.344979018,0.104266832,0.257976139,0.084212843,0.017057365,0.013936089,0.016070269,0.005807453,0,0,500
S03_highcor,lasso,0.964,0.109824661,0.609181818,0.165924944,0.718204932,0.110476533,0.419915395,0.09349949,0.394066949,0.109118833,0.246856189,0.082732316,0.01362885,0.010788848,0.014914175,0.005653676,0,0,500
S03_highcor,mcp,0.828666667,0.214380571,0.945681818,0.050286839,0.261699374,0.177477273,0.742635179,0.122720123,0.730587097,0.124247462,0.176221292,0.094760048,0.002731613,0.004822693,0.043042431,0.014280448,0.022,0.146830236,500
S03_highcor,mcp_pool,0.844,0.201579159,0.941409091,0.050931204,0.282537974,0.170920799,0.743396381,0.117014315,0.728478544,0.123279196,0.17136022,0.09036777,0.002874203,0.004958299,0.010604053,0.005297722,0.014,0.117608092,500
S03_highcor,scad,0.866666667,0.196552337,0.898318182,0.066363546,0.401265258,0.182505738,0.669922943,0.108134962,0.65349124,0.114504884,0.167778108,0.088254604,0.00298596,0.004732721,0.041892134,0.014311424,0.006,0.077304281,500
S03_highcor,scad_pool,0.872666667,0.186399035,0.897818182,0.061290061,0.412039143,0.168523966,0.671795709,0.107856307,0.652716542,0.117146326,0.168209029,0.089910788,0.002808636,0.003822256,0.010369835,0.005251042,0.006,0.077304281,500
S04_homog,enet,1,0,0.690636364,0.16206179,0.656841699,0.113154151,0.500731306,0.122589414,0.48554052,0.133697914,0.186177032,0.050962994,0.006630188,0.006089809,0.005053471,0.002077682,0,0,500
S04_homog,lasso,1,0,0.745545455,0.154555608,0.600167372,0.144225699,0.556701278,0.142823862,0.543747647,0.149582313,0.157294752,0.04818834,0.005460067,0.005476875,0.003680214,0.001742135,0,0,500
S04_homog,mcp,1,0,0.986363636,0.028560129,0.068940942,0.120009729,0.95969594,0.074595582,0.956837529,0.078308535,0.045344006,0.018208662,0.000412831,0.001169372,0.051739403,0.009410941,0.686,0.464581178,500
S04_homog,mcp_pool,1,0,0.978909091,0.038867393,0.101525469,0.143489407,0.939697691,0.091089159,0.935708829,0.095379929,0.04523662,0.018211747,0.000630359,0.002257977,0.000426316,0.000379891,0.586,0.493041763,500
S04_homog,scad,1,0,0.953681818,0.053200827,0.203190334,0.182404889,0.874649949,0.121828312,0.867977914,0.125489956,0.044922195,0.017879118,0.000813928,0.001248131,0.052492487,0.009650587,0.33,0.470683637,500
S04_homog,scad_pool,1,0,0.949181818,0.054087239,0.221815513,0.181635251,0.86286815,0.122302834,0.855667153,0.125706979,0.044877562,0.018178072,0.000893076,0.001551782,0.000419812,0.000349519,0.278,0.448462079,500
S05_highhet,enet,0.962666667,0.077145696,0.700590909,0.159704144,0.648824867,0.137748616,0.497036449,0.127223154,0.475497825,0.1343991,0.334280207,0.072839378,0.006405946,0.005167784,0.038895241,0.01221923,0,0,500
S05_highhet,lasso,0.96,0.083483499,0.7335,0.153805919,0.618914278,0.150416805,0.526109046,0.132958806,0.505790475,0.141422485,0.317150734,0.076966908,0.005938698,0.005594705,0.037108052,0.011898976,0.002,0.04472136,500
S05_highhet,mcp,0.926666667,0.143360439,0.950636364,0.052267757,0.225263801,0.181236046,0.821348944,0.130705991,0.811360973,0.133330503,0.236456687,0.082223166,0.001450628,0.002059444,0.029949191,0.011481265,0.148,0.355455619,500
S05_highhet,mcp_pool,0.937333333,0.132485615,0.945727273,0.051504871,0.247477898,0.175498506,0.81458725,0.125223103,0.803699401,0.128509767,0.234233518,0.080434628,0.001578807,0.002149483,0.030678341,0.011150415,0.118,0.322931214,500
S05_highhet,scad,0.942333333,0.134948055,0.888136364,0.074180169,0.407705802,0.184292803,0.700363679,0.132137472,0.687756119,0.133344438,0.235096828,0.08358271,0.002137937,0.002058981,0.030031999,0.011622935,0.028,0.165137946,500
S05_highhet,scad_pool,0.949666667,0.10847981,0.8835,0.072850298,0.424942115,0.167364054,0.69682285,0.120833151,0.682035661,0.125125593,0.233472868,0.080726765,0.002210176,0.002072871,0.030655946,0.011140874,0.008,0.089173448,500
S06_lowcens,enet,0.999,0.012884047,0.690863636,0.152848396,0.659233767,0.112239476,0.498118283,0.119901572,0.483367094,0.1295021,0.243441371,0.056982783,0.006102076,0.005204177,0.013847122,0.004162067,0,0,500
S06_lowcens,lasso,0.999,0.012884047,0.736363636,0.137196099,0.620334747,0.125437085,0.538731375,0.126235298,0.526546098,0.131563665,0.219741707,0.054871976,0.005124354,0.003980833,0.012243574,0.003770513,0,0,500
S06_lowcens,mcp,0.998333333,0.016599732,0.976954545,0.037060944,0.111696415,0.147751444,0.932732854,0.093958759,0.928320277,0.098134094,0.122395119,0.045575156,0.000677417,0.001444881,0.040236933,0.010294518,0.536,0.499201768,500
S06_lowcens,mcp_pool,0.998333333,0.016599732,0.973136364,0.037221698,0.131913726,0.150427137,0.92103821,0.095516641,0.915762603,0.0999306,0.122123547,0.045488965,0.000741589,0.001535955,0.007646316,0.002833837,0.466,0.499342253,500
S06_lowcens,scad,0.999,0.012884047,0.936,0.063268593,0.264167838,0.1891896,0.833159564,0.13123152,0.825157502,0.13423289,0.12153753,0.045498484,0.001088577,0.001586926,0.040665491,0.010621825,0.206,0.404835502,500
S06_lowcens,scad_pool,0.999,0.012884047,0.930090909,0.06098632,0.286558651,0.186962632,0.818162709,0.130386912,0.809820203,0.132852429,0.121588345,0.045565482,0.00114489,0.001416909,0.007630546,0.002826708,0.17,0.376008997,500
S07_highcens,enet,0.998,0.018165718,0.683954545,0.154051775,0.662366178,0.118482901,0.493440116,0.125106372,0.478054859,0.134029309,0.243798414,0.061070997,0.00720191,0.005634821,0.013924026,0.004184483,0,0,500
S07_highcens,lasso,0.997333333,0.02093346,0.729590909,0.142415206,0.624043278,0.128941453,0.533569054,0.130139,0.520592661,0.135441831,0.218535635,0.057323149,0.00622815,0.005248769,0.012242842,0.003806335,0,0,500
S07_highcens,mcp,0.994333333,0.041152134,0.970136364,0.040692708,0.14351558,0.156937031,0.911125483,0.102417359,0.905533551,0.106263504,0.118866629,0.046986807,0.000937395,0.001909649,0.043027229,0.011857434,0.43,0.495571571,500
S07_highcens,mcp_pool,0.995666667,0.028569003,0.965227273,0.040754323,0.167374575,0.158979766,0.897792482,0.102211759,0.891246237,0.106474999,0.117833353,0.045684901,0.001042133,0.001826555,0.007443129,0.002782585,0.354,0.478688087,500
S07_highcens,scad,0.997666667,0.019601349,0.916863636,0.067766987,0.326065548,0.18506912,0.789678622,0.132812632,0.780593143,0.13505575,0.117330374,0.04562605,0.001629023,0.002127321,0.043196506,0.01220014,0.13,0.336640243,500
S07_highcens,scad_pool,0.997,0.024562527,0.917772727,0.061937259,0.330459116,0.17340604,0.787981099,0.124734001,0.778512622,0.12657171,0.117352987,0.045855479,0.001576582,0.001738815,0.007436536,0.002787522,0.096,0.294886276,500
S08_weak,enet,0.686333333,0.265892957,0.790272727,0.228476517,0.487220569,0.297431317,0.47025731,0.140654124,0.441900188,0.157846205,0.147084771,0.04501344,0.005372203,0.008375088,0.009046676,0.002639291,0,0,500
S08_weak,lasso,0.683666667,0.264398125,0.799272727,0.213656345,0.489574324,0.293004574,0.472565109,0.144038983,0.44298941,0.161908398,0.142192948,0.045163671,0.005143573,0.007912376,0.008770059,0.002688192,0,0,500
S08_weak,mcp,0.599333333,0.238565258,0.950590909,0.058903366,0.253771849,0.2280109,0.599189607,0.156223647,0.590128348,0.14723973,0.123697752,0.042272165,0.001491645,0.002524509,0.009193166,0.003583151,0.002,0.04472136,500
S08_weak,mcp_pool,0.622,0.229732692,0.945090909,0.057782149,0.288623383,0.225049465,0.607007594,0.148531624,0.590078436,0.148618667,0.121466908,0.040695042,0.001521076,0.002073979,0.007320166,0.002464833,0,0,500
S08_weak,scad,0.662666667,0.227740003,0.894681818,0.084512761,0.434347773,0.23401919,0.547679842,0.135295405,0.515289779,0.144869447,0.122592621,0.041219989,0.001944028,0.002055561,0.008817708,0.003594526,0,0,500
S08_weak,scad_pool,0.681333333,0.212098967,0.890590909,0.080341461,0.456126025,0.21345107,0.554137495,0.126791449,0.516565085,0.140420692,0.121026222,0.041060363,0.002004343,0.002000172,0.007288256,0.002414489,0,0,500
S09_strong,enet,1,0,0.657545455,0.151063269,0.684691907,0.108538072,0.470035501,0.115466798,0.454117588,0.125497928,0.388162473,0.077047071,0.006990168,0.005263884,0.027644271,0.008412324,0.002,0.04472136,500
S09_strong,lasso,1,0,0.749954545,0.136450897,0.605399384,0.130773045,0.5537788,0.130372347,0.541985145,0.135406524,0.331332556,0.073573951,0.005082785,0.00455626,0.021349348,0.006839835,0,0,500
S09_strong,mcp,1,0,0.991318182,0.022198205,0.044908225,0.10036116,0.973912217,0.061088761,0.972017067,0.064490812,0.166833582,0.061991498,0.000323394,0.001101453,0.134500722,0.025292874,0.794,0.404835502,500
S09_strong,mcp_pool,1,0,0.981136364,0.039542544,0.085207921,0.149145326,0.948066995,0.096101746,0.945092382,0.09996596,0.166254016,0.061647281,0.000631201,0.001710347,0.010032082,0.004249204,0.694,0.461291209,500
S09_strong,scad,1,0,0.965727273,0.051807857,0.149245821,0.179587994,0.90791617,0.1188874,0.902959128,0.122871819,0.166102838,0.061479134,0.000675569,0.001414832,0.135570098,0.025564055,0.494,0.500464714,500
S09_strong,scad_pool,1,0,0.962181818,0.050457422,0.16693168,0.1809214,0.897236963,0.119360859,0.891705496,0.123274531,0.166078999,0.061853591,0.000737982,0.001373136,0.010016374,0.004245192,0.43,0.495571571,500
S10_highd,enet,0.993,0.038130143,0.798446809,0.104715042,0.725317666,0.10459654,0.420081093,0.119968851,0.461949729,0.112370287,0.282813964,0.05280216,0.003602856,0.003021015,0.008205665,0.002169976,0,0,500
S10_highd,lasso,0.995333333,0.033038105,0.833893617,0.08624534,0.684704596,0.118223371,0.466892994,0.123947445,0.506245248,0.113344653,0.251709005,0.053387833,0.003000697,0.00226648,0.007045134,0.001953149,0,0,500
S10_highd,mcp,0.994333333,0.033716898,0.979851064,0.023473064,0.193000683,0.179338111,0.879201398,0.120524321,0.881570489,0.11526958,0.122071337,0.044935537,0.000496587,0.000723335,0.02067852,0.00554293,0.33,0.470683637,500
S10_highd,mcp_pool,0.994666667,0.032936854,0.978170213,0.022583051,0.211760462,0.174391779,0.868183929,0.116344434,0.870756139,0.11115017,0.121806298,0.045779984,0.000505076,0.000639557,0.003792292,0.001387563,0.274,0.446455648,500
S10_highd,scad,0.995333333,0.031307868,0.941404255,0.041639903,0.418044729,0.19541005,0.715708061,0.151214932,0.730278498,0.138176296,0.121613847,0.046393368,0.000933357,0.000813359,0.020904836,0.005734206,0.072,0.258746787,500
S10_highd,scad_pool,0.996666667,0.023356702,0.940446809,0.040094961,0.428381142,0.18262174,0.710139315,0.144212022,0.72487306,0.131443552,0.120950192,0.04504292,0.000940752,0.000776679,0.003785314,0.001385468,0.06,0.237724685,500
S11_ultrad,enet,0.846333333,0.18815367,0.895154639,0.087268156,0.690041904,0.216786966,0.392389029,0.151020003,0.443332128,0.128370382,0.3973161,0.072815823,0.002490411,0.00304104,0.006719004,0.001822008,0,0,500
S11_ultrad,lasso,0.869,0.17339492,0.906278351,0.069483367,0.679336407,0.209653446,0.414815742,0.147630772,0.466851529,0.124862371,0.353275556,0.078545005,0.002280328,0.002166017,0.005598493,0.001712233,0,0,500
S11_ultrad,mcp,0.842666667,0.190866953,0.980206186,0.018733988,0.334427491,0.222409075,0.698230704,0.133712679,0.715661732,0.122383114,0.183668351,0.089725462,0.000658639,0.000765097,0.01092707,0.004268677,0.026,0.159294537,500
S11_ultrad,mcp_pool,0.857333333,0.178072012,0.97885567,0.019601539,0.352231243,0.215622783,0.696959484,0.131994143,0.713938361,0.120646078,0.179714281,0.089300041,0.000697354,0.000813567,0.002681698,0.001306921,0.018,0.13308427,500
S11_ultrad,scad,0.891333333,0.157822807,0.942731959,0.037907479,0.584965445,0.215364767,0.519438556,0.144973658,0.561978596,0.123517506,0.179835609,0.087785376,0.00131152,0.001041672,0.009919708,0.004165615,0.008,0.089173448,500
S11_ultrad,scad_pool,0.892,0.158982514,0.94485567,0.035888931,0.584407081,0.200407803,0.523673495,0.134364394,0.565230649,0.113974536,0.182399473,0.087768458,0.001263515,0.001024462,0.002715979,0.001306176,0.002,0.04472136,500
S12_moreK,enet,0.999666667,0.00745356,0.697136364,0.150301341,0.652010168,0.120877001,0.504992699,0.126590682,0.490860353,0.134298513,0.24966852,0.050520109,0.006369953,0.005002408,0.015175176,0.003543711,0,0,500
S12_moreK,lasso,0.999666667,0.00745356,0.749727273,0.13176936,0.605044026,0.138394703,0.553091164,0.133545944,0.541705678,0.137458568,0.227504939,0.048341106,0.005168168,0.004100975,0.01362494,0.003211526,0.002,0.04472136,500
S12_moreK,mcp,0.996666667,0.029656987,0.971409091,0.035822716,0.141531851,0.152133355,0.914361755,0.095818402,0.908750391,0.100430421,0.114955936,0.039049653,0.000775069,0.001340013,0.041704681,0.010322313,0.442,0.497121978,500
S12_moreK,mcp_pool,0.997333333,0.023442345,0.9705,0.036804437,0.145501032,0.152023642,0.912447762,0.096510894,0.906634352,0.100942185,0.114692166,0.038826211,0.000813949,0.001415143,0.008477648,0.002337624,0.414,0.493041763,500
S12_moreK,scad,0.998666667,0.018226903,0.925272727,0.060229855,0.305437688,0.179550347,0.80572642,0.126704655,0.796933612,0.128639783,0.113741939,0.038742669,0.001305394,0.001440465,0.040802813,0.010765007,0.132,0.338829767,500
S12_moreK,scad_pool,0.998666667,0.014862241,0.925863636,0.059033406,0.305900845,0.1751266,0.806113846,0.123428641,0.797135214,0.125366563,0.114057863,0.039324946,0.00123448,0.001277212,0.008463339,0.002391543,0.122,0.327613585,500
S13_unequal,enet,0.997666667,0.019601349,0.669318182,0.157773578,0.673626249,0.114864064,0.481195562,0.121691002,0.464932218,0.131778301,0.238086197,0.059295018,0.0071792,0.005426105,0.013629877,0.004217871,0.002,0.04472136,500
S13_unequal,lasso,0.997,0.022180712,0.726454545,0.149290682,0.621551975,0.144280241,0.533711544,0.138634582,0.520369893,0.145067926,0.218476768,0.057598383,0.00588329,0.005021389,0.012257554,0.003822462,0.004,0.063182149,500
S13_unequal,mcp,0.995333333,0.03468213,0.971545455,0.038180061,0.13837069,0.154833503,0.915120236,0.099431432,0.909645468,0.103748602,0.12095765,0.046317189,0.000773584,0.001361247,0.042314941,0.012176815,0.442,0.497121978,500
